From Bank,Account,To Bank,Account.1,Amount Received,Amount Paid,Payment Format,Year,Month
010,8000SRV06,03208,8000IND66,168.66,341.34,Bitcoin,2023,10
03208,8000KSQ35,03208,8000YYO37,126.93,432.4,Wire,2023,12
010,8000TXX14,03208,8000GMG13,163.0,175.38,ACH,2021,1
03208,8000YPC22,010,8000LHZ75,358.85,110.63,Wire,2022,9
010,8000SLK70,010,8000TSP59,351.9,225.3,Cash,2023,4
010,8000KZU71,010,8000UPB84,206.82,488.82,Bitcoin,2021,12
03208,8000CAB99,010,8000XWN88,203.22,346.06,Bitcoin,2022,7
010,8000YOD08,03208,8000RHN45,266.25,188.98,Wire,2023,1
010,8000OZF27,03208,8000VJI23,291.51,495.95,Credit Card,2023,5
03208,8000BRF67,03208,8000XDE47,467.04,295.59,Cash,2023,3
03208,8000XWO73,03208,8000FCQ36,371.0,182.39,Cash,2022,10
010,8000RPL34,010,8000PXV65,227.99,444.77,Cash,2021,10
010,8000YVA84,010,8000OGN16,406.22,365.37,Credit Card,2021,1
03208,8000ZDW42,010,8000TGJ11,277.06,196.96,Bitcoin,2023,11
010,8000YOU43,010,8000IYD49,335.76,408.3,Bitcoin,2023,9
03208,8000WKE67,03208,8000QNU52,362.52,336.45,Wire,2023,1
03208,8000XRI15,010,8000IFU65,230.05,111.55,Credit Card,2022,3
010,8000VCU85,010,8000DDJ93,300.25,451.96,Bitcoin,2023,8
03208,8000QZT28,03208,8000QKK21,140.43,330.1,Cheque,2023,6
03208,8000PJX35,03208,8000RSJ81,438.82,255.17,Bitcoin,2021,9
010,8000ZXY32,03208,8000NKQ42,480.97,277.95,Reinvestment,2021,6
03208,8000RFX38,010,8000IOB68,460.74,459.93,ACH,2021,1
010,8000YYJ26,03208,8000ENY29,117.9,349.66,ACH,2023,2
010,8000AZH42,03208,8000TFJ15,441.15,418.6,Wire,2022,7
010,8000YVN59,03208,8000UCV48,436.83,488.38,Bitcoin,2021,2
03208,8000DBG05,010,8000XEA97,152.27,482.17,Cash,2022,7
010,8000IWB15,03208,8000VLT04,388.38,296.79,Credit Card,2021,11
010,8000ETD56,010,8000IWT02,121.54,231.88,Wire,2021,7
010,8000HSN02,03208,8000MDW20,424.74,249.95,ACH,2022,1
010,8000FMG07,03208,8000RFW25,420.81,184.39,Reinvestment,2023,8
03208,8000GHZ13,010,8000VFG81,487.06,429.86,Cheque,2021,8
03208,8000OWC36,03208,8000AHB02,273.58,283.78,Cheque,2021,9
010,8000URH00,03208,8000UUE37,298.76,300.02,Cheque,2023,12
03208,8000VHR44,03208,8000OUO51,272.44,149.64,Wire,2022,6
03208,8000QPN18,010,8000WWJ74,304.15,468.33,Credit Card,2023,1
03208,8000LHM86,010,8000RGL58,426.15,180.78,Bitcoin,2022,6
010,8000WXZ14,010,8000GFJ76,447.35,251.22,Credit Card,2023,7
03208,8000EPO11,010,8000TUX56,106.15,245.56,Cash,2021,3
03208,8000YCX37,010,8000KKI31,367.29,448.95,Reinvestment,2021,4
03208,8000UMN02,010,8000HMT75,349.68,161.16,ACH,2021,10
03208,8000LOP24,03208,8000KPH18,344.75,428.13,Bitcoin,2023,5
03208,8000FSG69,010,8000QGX52,399.84,310.94,Wire,2021,3
010,8000FAK05,010,8000ZXJ30,393.2,216.68,ACH,2021,6
03208,8000YGC37,03208,8000UZQ11,142.96,382.32,Wire,2022,11
03208,8000WLA71,010,8000ZZH01,384.12,170.84,Cash,2022,5
010,8000MFJ71,010,8000LBK73,431.64,490.5,Bitcoin,2021,6
010,8000MME36,03208,8000QWX30,104.91,100.96,Credit Card,2021,5
010,8000EVB45,03208,8000TIX24,227.89,216.4,Credit Card,2022,7
010,8000LTL56,03208,8000EXG84,180.06,213.01,Credit Card,2022,12
03208,8000CHP94,010,8000CVS64,107.52,257.39,ACH,2023,1
03208,8000EEA15,03208,8000XCY97,447.47,156.65,Reinvestment,2022,12
03208,8000CEI38,010,8000YUQ98,315.05,449.81,ACH,2021,9
03208,8000COI68,03208,8000XMQ11,394.77,251.43,Cash,2023,12
03208,8000DIU22,03208,8000ZXY72,187.04,363.42,Wire,2022,11
010,8000AGU66,03208,8000ODP84,149.86,251.57,Cheque,2023,12
03208,8000FSY04,010,8000AAX74,162.35,434.84,ACH,2021,6
010,8000KNU79,010,8000LMZ88,438.37,363.05,Wire,2021,2
010,8000RRM24,03208,8000LBB60,203.38,154.8,Wire,2021,1
010,8000FSC30,010,8000GHP70,347.07,137.44,Bitcoin,2021,8
03208,8000SWK38,010,8000QNB49,241.78,399.24,Cash,2023,1
03208,8000MID27,03208,8000WPK42,276.16,359.42,Wire,2021,5
010,8000ADW53,03208,8000SXE81,442.07,193.72,Credit Card,2023,12
010,8000PKF38,010,8000BCX88,393.71,272.3,ACH,2021,5
010,8000WEW27,010,8000GZM65,234.27,254.76,ACH,2023,5
010,8000FUU76,03208,8000FYA46,458.88,208.81,ACH,2022,11
010,8000KRD84,03208,8000IGC13,226.32,458.22,Wire,2023,11
010,8000RCA32,03208,8000GHS66,400.1,250.16,Wire,2021,5
03208,8000VRR81,010,8000QKF78,415.93,401.56,ACH,2023,11
010,8000XEL96,03208,8000WDF37,244.3,418.9,Cash,2021,5
010,8000NBE86,03208,8000WDV90,309.8,464.03,Cheque,2023,3
010,8000DHT91,03208,8000MXO98,283.77,119.95,Cash,2022,8
010,8000CHN66,010,8000LYH72,349.81,354.77,Credit Card,2023,11
010,8000SNX36,010,8000CXR84,391.94,145.29,Cheque,2023,4
03208,8000BMO97,010,8000BPJ70,464.86,192.76,Cash,2023,7
010,8000QLP27,010,8000EFX87,333.54,403.91,Bitcoin,2022,11
03208,8000UOO58,010,8000UAK20,460.94,399.06,Bitcoin,2022,11
010,8000BPK92,03208,8000UUJ44,497.17,365.39,ACH,2023,4
010,8000ILP94,010,8000PZV37,318.29,211.51,ACH,2021,12
03208,8000VOH61,010,8000MZK38,200.85,208.4,ACH,2022,10
010,8000HSA79,03208,8000YGS73,357.01,493.71,Cheque,2021,8
03208,8000OSJ01,03208,8000ZRC82,391.68,419.02,Cheque,2023,4
03208,8000YLC70,010,8000KAN56,359.31,466.18,ACH,2023,10
03208,8000FJX17,03208,8000HIC38,122.28,198.17,Reinvestment,2021,12
03208,8000NJY00,010,8000WGZ52,175.46,260.05,Credit Card,2023,11
03208,8000RMT05,03208,8000BVV58,195.43,216.68,ACH,2023,1
03208,8000CMJ61,010,8000WHA52,198.01,486.49,Wire,2021,10
010,8000NXF44,03208,8000YAD54,475.64,325.33,Cash,2023,9
03208,8000XBM99,03208,8000LOE65,367.21,310.14,Wire,2023,12
010,8000MBK91,010,8000SAJ91,192.88,418.78,Reinvestment,2021,2
010,8000WTH31,03208,8000ELH13,166.23,250.51,Wire,2021,5
03208,8000SLT31,03208,8000BAX90,119.33,412.79,Cash,2023,6
03208,8000ZBA62,010,8000NTQ13,213.2,410.15,Cheque,2021,7
03208,8000CDR50,010,8000VDS17,234.68,335.48,Wire,2022,9
010,8000HTB58,03208,8000VLG74,212.28,163.52,Bitcoin,2021,2
03208,8000BNO86,010,8000ARN47,387.93,180.39,Bitcoin,2023,5
03208,8000UCB46,010,8000VHW38,326.8,204.61,ACH,2023,7
010,8000TTB45,010,8000JNK74,141.32,474.3,Wire,2021,3
03208,8000KAN37,03208,8000SKY19,359.74,191.07,Cheque,2022,2
010,8000YWA21,010,8000PZO01,224.22,427.27,Bitcoin,2021,11
03208,8000HYO06,03208,8000AYW12,396.54,126.54,Cheque,2023,2
010,8000EZL41,03208,8000XOB50,295.59,243.5,Wire,2023,6
03208,8000ADC73,03208,8000DLF36,156.36,294.65,Bitcoin,2022,7
010,8000VRL98,03208,8000NIU73,173.18,217.29,Reinvestment,2022,1
03208,8000FBD77,010,8000VSL30,320.59,115.63,Bitcoin,2022,7
03208,8000LWN85,010,8000TDE74,213.79,226.05,Reinvestment,2023,7
010,8000WYK23,03208,8000IJA42,252.83,333.1,Credit Card,2022,4
03208,8000RSB50,010,8000VQJ00,414.23,341.8,ACH,2021,2
03208,8000WBI04,03208,8000DYU12,322.39,290.94,ACH,2023,1
010,8000HKI55,010,8000TKQ05,450.9,489.77,Reinvestment,2021,12
010,8000BHD14,03208,8000KFS00,375.22,477.31,Credit Card,2022,5
03208,8000RXR28,03208,8000IUP62,161.53,439.05,Bitcoin,2023,9
010,8000YXQ57,03208,8000OVZ31,139.82,265.94,Bitcoin,2023,2
03208,8000SHI14,010,8000TOU35,357.33,468.53,Cheque,2022,3
03208,8000YAD67,03208,8000VJJ90,314.23,177.19,Cash,2021,4
010,8000JLJ05,010,8000XIA25,393.72,341.65,Reinvestment,2021,2
010,8000JZI49,010,8000ZML08,321.82,412.59,ACH,2022,11
03208,8000TST68,010,8000HMY36,495.05,249.67,ACH,2022,3
010,8000DTJ58,010,8000FZO98,492.66,239.33,Wire,2022,11
03208,8000TQY40,010,8000ZLG71,208.86,273.94,ACH,2021,3
010,8000YKP87,03208,8000CTZ65,416.75,374.13,Reinvestment,2023,9
03208,8000FFT46,03208,8000OPA79,406.45,134.81,Wire,2022,2
03208,8000TRT36,03208,8000SFY57,436.18,245.93,Reinvestment,2021,8
03208,8000YAZ32,010,8000EFA08,268.14,433.96,Reinvestment,2023,6
03208,8000RGF75,03208,8000LVS88,471.12,498.82,Reinvestment,2023,1
03208,8000QXA32,010,8000YWC14,250.71,355.88,Bitcoin,2023,9
03208,8000VKJ65,03208,8000EFT57,385.33,156.63,Cash,2022,3
03208,8000DUY73,010,8000SHW01,340.95,199.51,ACH,2022,5
010,8000ICE81,010,8000JIN77,245.58,407.51,Cheque,2021,11
010,8000LER17,03208,8000EOI35,191.15,377.84,Bitcoin,2022,2
010,8000BHE53,03208,8000KPK92,374.14,291.82,Reinvestment,2022,3
03208,8000QOI03,010,8000IPB40,460.93,437.68,Cheque,2023,3
010,8000CZM88,010,8000ICL00,259.4,259.22,Cash,2023,5
010,8000PHO82,010,8000TJR27,138.59,147.97,Bitcoin,2021,10
010,8000HRT06,010,8000XEJ84,212.24,113.07,Cash,2023,11
010,8000MRT00,010,8000JCX93,260.26,232.94,Credit Card,2022,10
03208,8000EJM57,03208,8000RGW10,262.82,391.28,Bitcoin,2022,8
03208,8000KYU98,010,8000LTH39,355.07,347.93,ACH,2021,6
010,8000TMZ31,03208,8000PWG74,146.06,496.34,Bitcoin,2023,3
03208,8000WMW48,010,8000DQV14,145.04,450.5,Cheque,2021,10
03208,8000CBM88,010,8000JYT99,169.42,194.91,Wire,2023,10
03208,8000CDR15,010,8000SWI32,166.29,328.55,Reinvestment,2021,9
03208,8000DLI34,03208,8000JVM22,170.3,415.15,Wire,2021,3
03208,8000YBD94,010,8000HQO03,102.09,344.03,Bitcoin,2021,7
010,8000MOP09,010,8000AAZ33,209.68,229.7,Wire,2023,7
03208,8000SSY15,010,8000CJW39,326.28,164.57,Reinvestment,2023,3
010,8000FGA67,03208,8000AGJ57,496.88,367.26,Reinvestment,2023,3
03208,8000XUP93,03208,8000BGT76,264.43,323.07,Credit Card,2021,7
010,8000IIP05,010,8000ZFL01,438.42,392.16,Cash,2023,7
010,8000MPY63,03208,8000PVV84,183.79,302.4,Wire,2021,9
03208,8000MNY63,010,8000APW90,475.91,430.47,Bitcoin,2023,9
010,8000XBE29,03208,8000NJD44,106.81,275.34,Bitcoin,2021,8
03208,8000WGP29,010,8000OUO41,110.85,184.42,Cash,2023,12
010,8000QSY89,03208,8000AFR03,244.83,307.07,Credit Card,2022,1
010,8000DGW87,010,8000NDK84,450.13,332.55,Cheque,2023,8
03208,8000SWM17,03208,8000YFL97,326.77,131.96,Credit Card,2021,10
010,8000GPO36,03208,8000RQC84,114.05,200.12,Cheque,2022,7
03208,8000KCW82,010,8000EES13,436.14,335.05,Credit Card,2023,12
010,8000ODT43,010,8000INM49,164.87,248.21,Reinvestment,2021,1
03208,8000YVV87,010,8000EZQ54,250.4,346.26,Reinvestment,2023,10
010,8000XIX47,010,8000PUB39,134.16,270.4,Credit Card,2023,6
010,8000JMG13,010,8000VDB68,472.48,264.64,Bitcoin,2021,6
03208,8000BII05,03208,8000QZR13,102.49,106.01,Cheque,2021,7
03208,8000VPC22,010,8000THI11,451.38,456.69,Credit Card,2023,8
010,8000ISK06,03208,8000GZW35,167.34,344.27,ACH,2023,8
03208,8000FZA85,010,8000BKS32,180.9,283.03,ACH,2022,11
010,8000GDF20,010,8000YZZ82,188.29,281.1,Bitcoin,2022,12
010,8000WFB41,010,8000LKN24,156.94,417.74,Cheque,2021,4
010,8000JWW96,010,8000CIE21,157.24,268.84,Reinvestment,2021,5
03208,8000WMQ69,010,8000JDD36,448.64,394.8,Wire,2023,10
03208,8000XZY29,010,8000FAO32,266.83,432.23,Reinvestment,2021,5
03208,8000BHU91,03208,8000SRT92,245.07,387.5,Cheque,2021,5
010,8000HMK12,010,8000KMF72,198.19,333.82,Cheque,2022,12
010,8000VBV36,03208,8000TFJ81,461.96,204.89,Wire,2021,4
010,8000VQG66,03208,8000SZF70,334.0,420.25,Reinvestment,2023,2
03208,8000XHA19,010,8000FWY66,238.09,327.25,Cash,2023,9
010,8000QKR31,010,8000PJG70,179.07,249.94,Reinvestment,2023,11
03208,8000PXB34,03208,8000PTF06,465.17,132.27,Wire,2021,11
03208,8000PYV94,03208,8000ETK35,181.92,105.1,Cheque,2023,6
03208,8000KTF41,010,8000OUB72,126.13,435.59,Reinvestment,2022,1
03208,8000CUA78,010,8000OHY59,352.21,171.92,Credit Card,2021,11
03208,8000YVV93,010,8000JAZ35,210.84,275.08,Wire,2021,9
010,8000GCD13,010,8000WOP34,171.16,297.69,Wire,2021,9
010,8000OCT80,03208,8000DLN73,342.04,380.16,Wire,2023,11
010,8000KGY75,03208,8000DIB71,282.55,281.59,Credit Card,2023,2
010,8000OCJ70,03208,8000GWI55,162.83,356.79,Cash,2022,8
03208,8000JUN64,03208,8000HGY42,329.78,156.73,Reinvestment,2023,9
03208,8000CRN60,010,8000TZO38,366.89,324.77,Credit Card,2022,8
03208,8000AYX54,010,8000EJH58,377.51,207.09,Credit Card,2021,5
010,8000CVU68,03208,8000HBD74,200.86,467.83,Wire,2021,9
010,8000MVE05,010,8000MYP41,307.54,414.36,Bitcoin,2023,10
03208,8000OPF31,03208,8000NAI71,235.01,388.24,Credit Card,2023,12
010,8000VWQ96,010,8000COT07,470.67,121.95,Wire,2023,2
010,8000YUX30,03208,8000WHB29,292.49,365.05,Credit Card,2021,6
010,8000DQU47,010,8000HZH73,328.22,271.65,Cash,2022,4
03208,8000RFE22,03208,8000XMH12,312.55,108.29,Cheque,2021,12
010,8000GOG56,010,8000KVY62,499.21,381.64,Cash,2023,5
03208,8000URT40,010,8000OKG49,458.38,362.27,ACH,2023,12
010,8000IQM91,010,8000LCA36,494.96,171.27,Cash,2022,3
03208,8000ALF85,03208,8000DWL17,196.16,473.79,Bitcoin,2023,8
010,8000SQG48,010,8000UHY96,292.95,185.78,Credit Card,2021,5
010,8000GYU55,03208,8000KXT56,281.12,362.4,Cash,2023,4
03208,8000NSQ85,03208,8000QXQ89,380.6,345.48,ACH,2023,8
03208,8000XCU87,03208,8000KUU24,389.03,166.82,Bitcoin,2022,8
03208,8000DND65,03208,8000RLC76,267.34,348.42,Wire,2022,10
010,8000SRO79,010,8000GHB13,310.68,435.79,Wire,2022,5
03208,8000IHX50,010,8000ATD74,286.26,442.81,Reinvestment,2023,3
010,8000IJM62,010,8000BWI30,406.24,380.0,Bitcoin,2023,6
03208,8000CMY27,010,8000YTZ23,297.76,462.19,Bitcoin,2023,4
010,8000CNN15,010,8000IAU14,371.21,295.91,Reinvestment,2023,3
010,8000XVX27,010,8000PPR94,429.25,167.06,Credit Card,2023,9
010,8000UCX77,03208,8000XPU99,371.31,212.83,Credit Card,2023,11
03208,8000EDQ94,03208,8000YJZ98,245.67,165.96,Cash,2022,8
010,8000YJL27,03208,8000XMH38,291.38,214.14,ACH,2023,5
03208,8000ZIX20,03208,8000CXT46,286.49,380.87,Reinvestment,2022,11
010,8000DBL70,03208,8000HJL13,483.71,422.57,Cash,2023,7
010,8000OGJ88,010,8000BHA27,274.3,271.08,Wire,2021,6
010,8000RTY58,010,8000ISF73,465.43,241.17,Cheque,2022,6
010,8000DWB02,03208,8000OEX80,463.86,189.62,Cash,2022,8
03208,8000USW38,010,8000BKD41,398.62,264.94,Wire,2023,12
010,8000VLW35,010,8000YJS12,180.82,428.56,Credit Card,2022,12
010,8000FHT80,03208,8000FVI96,270.06,361.96,Credit Card,2021,12
03208,8000VVZ61,010,8000EVY06,358.02,392.79,Reinvestment,2022,3
010,8000YXT56,010,8000QWX31,202.71,272.23,Credit Card,2023,12
03208,8000ONC33,010,8000CCJ68,164.16,308.59,Reinvestment,2021,5
03208,8000LVH12,03208,8000BCE51,292.9,298.28,Reinvestment,2023,4
010,8000OKZ15,03208,8000CTQ89,339.93,392.31,Wire,2021,1
010,8000UHX84,010,8000ZFL86,358.94,442.92,Cash,2022,8
03208,8000TLU35,03208,8000MKT62,344.61,485.68,Wire,2021,7
03208,8000KHL47,03208,8000SUW30,216.57,177.7,Wire,2022,2
03208,8000GYT73,03208,8000TDY38,239.28,455.26,Credit Card,2023,8
03208,8000XOX49,010,8000TCA68,253.17,133.77,Cash,2022,12
03208,8000GFF37,03208,8000OPX72,181.81,471.75,Cheque,2023,12
03208,8000BPI42,03208,8000SVT34,182.77,294.43,Bitcoin,2021,1
03208,8000KKD73,010,8000XMA61,283.43,347.69,Credit Card,2021,6
03208,8000CVF75,03208,8000ZIH96,151.36,190.7,Credit Card,2022,12
010,8000AYZ70,010,8000KUE00,143.99,116.31,Cash,2021,1
03208,8000SEM42,03208,8000GKH86,302.2,217.47,Bitcoin,2022,2
010,8000VDM67,010,8000FYZ23,119.05,316.95,Cash,2022,5
010,8000WOZ03,03208,8000KWM42,260.99,328.88,Credit Card,2022,2
03208,8000UFK45,010,8000QHW50,399.47,270.03,Reinvestment,2023,6
03208,8000DTZ66,010,8000YMJ35,489.7,185.04,ACH,2023,5
010,8000GFJ24,03208,8000CMM10,299.95,331.08,ACH,2022,3
010,8000NNQ21,03208,8000LBS66,202.86,150.81,ACH,2021,7
03208,8000GCH25,03208,8000VCC54,351.18,391.45,Cash,2021,1
03208,8000UHP31,03208,8000KSV75,157.98,463.1,Bitcoin,2022,11
03208,8000KBN90,03208,8000APX94,472.2,135.67,Bitcoin,2022,7
03208,8000MFY45,03208,8000MXX31,402.02,329.13,Wire,2023,1
010,8000KLC28,03208,8000GDS27,160.26,234.39,Cheque,2021,4
010,8000LSH86,010,8000FIP58,139.07,290.11,Reinvestment,2021,6
010,8000ZIG24,03208,8000CUD26,470.51,370.59,Credit Card,2023,10
010,8000WVC71,03208,8000SHB32,482.42,444.94,ACH,2023,9
010,8000RMN73,03208,8000VPC81,200.54,487.66,Bitcoin,2021,10
010,8000NPP43,03208,8000KDH94,168.75,109.41,Reinvestment,2023,10
010,8000HTT83,010,8000KGT66,375.85,324.02,Cash,2022,1
03208,8000WEI64,010,8000DBS58,497.48,212.26,Credit Card,2022,7
03208,8000SRQ40,010,8000GXA80,203.11,367.5,Bitcoin,2021,4
03208,8000WHB55,010,8000YOB56,244.34,337.41,Credit Card,2021,1
03208,8000BNT57,03208,8000JYQ27,243.95,141.88,Wire,2021,10
010,8000HOT01,03208,8000MKW14,286.17,136.5,Wire,2021,8
010,8000WRS24,010,8000ZKS82,204.96,177.86,Credit Card,2023,12
03208,8000MAD10,010,8000QMD22,323.56,211.15,Credit Card,2023,5
010,8000GAJ15,03208,8000VER43,432.66,116.2,Bitcoin,2022,11
010,8000HNP76,010,8000GHB28,260.14,309.68,ACH,2021,10
010,8000KRX96,010,8000VFO06,212.07,136.53,Cash,2021,12
010,8000DPP75,010,8000KKW38,473.8,408.8,Wire,2023,3
03208,8000CVL53,03208,8000MVN61,319.9,433.05,Cash,2022,3
03208,8000KBN58,03208,8000OIF71,193.08,392.86,Reinvestment,2022,5
03208,8000JFZ82,010,8000QKI26,238.86,327.61,Cash,2022,3
03208,8000YDD80,010,8000GLW58,300.38,166.56,Wire,2021,5
010,8000AZC72,010,8000GMN44,135.57,446.02,Bitcoin,2022,3
03208,8000OMD16,03208,8000DLW62,113.53,336.23,ACH,2022,8
010,8000FOE85,010,8000YDJ43,384.28,394.54,Reinvestment,2022,5
03208,8000XHD96,010,8000WWJ17,396.8,259.4,Cheque,2023,2
010,8000EFE67,010,8000CEE03,288.15,380.62,Credit Card,2021,12
03208,8000HFE86,010,8000HCL75,445.73,250.27,Credit Card,2022,11
010,8000AVC17,03208,8000NYO84,335.36,335.12,Cheque,2023,2
010,8000OBK20,03208,8000MHH82,402.95,245.27,Cash,2021,10
010,8000MDL75,03208,8000CAX94,474.39,118.53,Credit Card,2023,10
010,8000VVI51,010,8000QTM68,416.15,417.39,Cheque,2023,3
010,8000JKF86,010,8000CJY82,224.22,251.77,Cheque,2021,10
010,8000PKD21,03208,8000PTL48,147.59,286.68,Wire,2022,4
010,8000UBU47,03208,8000GPT29,115.91,159.06,Bitcoin,2022,12
010,8000VQQ12,010,8000RSP00,256.22,342.26,Reinvestment,2023,3
010,8000QYN08,010,8000XST75,102.98,196.15,Bitcoin,2021,12
03208,8000XDK74,010,8000SHD55,395.16,433.78,Cheque,2023,3
03208,8000MUU56,03208,8000DZC35,280.71,489.29,Wire,2023,12
03208,8000HPQ20,010,8000NUV00,392.89,189.88,Cash,2023,9
03208,8000VJZ15,010,8000BCU47,299.1,324.15,Cash,2021,2
03208,8000ZCN43,03208,8000QFI81,105.96,265.49,Cash,2023,6
010,8000HJY01,03208,8000UEU84,448.85,437.34,Wire,2021,12
03208,8000KGQ85,03208,8000DAZ07,468.21,102.91,Credit Card,2022,8
03208,8000HSD59,010,8000WCD27,340.42,272.64,Wire,2022,2
010,8000TYZ08,010,8000JEB88,379.67,373.91,Cash,2021,7
03208,8000MFL16,03208,8000TFJ51,124.27,460.33,Reinvestment,2021,2
03208,8000NEU70,010,8000BTV16,378.29,419.76,Bitcoin,2021,2
010,8000MUQ59,010,8000UVF50,133.6,267.62,Credit Card,2021,6
03208,8000KSW04,03208,8000ZDQ00,228.32,397.6,Cash,2021,1
03208,8000EXN70,010,8000JAI74,219.41,188.13,Cash,2021,7
010,8000PEM25,010,8000YZK21,436.57,342.4,Reinvestment,2022,10
010,8000DPA69,010,8000XNV87,285.16,356.88,Reinvestment,2022,12
010,8000ETU68,03208,8000IXS05,125.09,361.1,Cheque,2022,10
010,8000PSI97,03208,8000DMK58,196.88,158.49,Cash,2021,3
03208,8000RIR64,010,8000FPQ34,277.74,185.6,Cheque,2021,1
03208,8000OWL36,03208,8000QDF64,479.0,226.81,ACH,2021,10
03208,8000CWX78,010,8000KYP64,196.53,332.58,Cash,2022,3
010,8000UFQ57,03208,8000PYP95,410.16,303.53,Bitcoin,2023,9
03208,8000LUJ10,010,8000PWX59,169.98,152.35,Cheque,2022,6
010,8000GTW73,010,8000FYD26,356.93,313.96,ACH,2022,2
03208,8000WLZ70,010,8000CNX25,190.23,379.06,Cash,2022,11
010,8000FZE03,03208,8000FZI82,408.79,174.57,Cheque,2022,3
03208,8000SNC76,03208,8000UVD90,317.01,325.63,Cash,2023,12
03208,8000PEA81,03208,8000XHR53,457.04,308.1,ACH,2021,12
010,8000EOP01,03208,8000FKP37,142.71,363.91,Reinvestment,2023,12
010,8000XKW67,010,8000WNJ36,175.71,382.73,ACH,2021,8
010,8000EQO52,010,8000ZGY29,406.5,277.02,ACH,2021,8
03208,8000DRW11,010,8000SWM98,234.39,338.2,Cheque,2023,9
03208,8000UEV34,03208,8000KHR03,127.79,129.07,Wire,2023,3
010,8000GLZ80,03208,8000FKF76,381.24,203.43,Bitcoin,2021,3
010,8000EQP22,010,8000OKJ07,154.29,270.13,Reinvestment,2021,4
010,8000ECE85,03208,8000COD33,147.68,443.98,Cash,2021,2
010,8000XCB67,03208,8000WEL54,301.14,476.15,Cash,2023,12
03208,8000BOK23,03208,8000BLS17,264.8,480.32,Wire,2021,11
010,8000CQN33,010,8000VCD09,169.6,272.12,Wire,2021,1
010,8000LKM07,03208,8000GDB81,368.23,319.04,Wire,2021,3
03208,8000CLP38,010,8000IYH56,266.2,276.77,Wire,2021,7
03208,8000DHR91,010,8000GPP98,374.06,123.33,Wire,2021,2
010,8000ENQ41,03208,8000BAV81,253.13,453.59,Bitcoin,2022,5
03208,8000FLO82,03208,8000XPS26,430.35,356.73,Wire,2021,1
010,8000GRE22,010,8000WRK26,329.63,159.65,Credit Card,2021,11
03208,8000MRN33,010,8000VSP37,424.73,184.8,Reinvestment,2021,5
03208,8000DEZ26,03208,8000UFT65,350.41,378.45,ACH,2021,6
010,8000OWY10,010,8000XDR44,244.68,327.67,Bitcoin,2022,6
03208,8000ERQ13,03208,8000QXC33,255.1,307.46,Cheque,2021,12
010,8000EGE70,03208,8000RBT97,422.98,406.11,Cheque,2023,10
010,8000ZMH93,010,8000NYS28,111.69,156.81,Bitcoin,2022,3
03208,8000HFS02,03208,8000VAG13,169.26,159.82,Bitcoin,2022,12
03208,8000KWL07,010,8000TDV04,351.81,424.04,Cash,2021,7
010,8000VHO68,010,8000ZKB99,397.37,329.17,Credit Card,2022,2
03208,8000SPM77,010,8000RBD69,440.94,386.94,Bitcoin,2021,4
03208,8000TQE28,010,8000IYF68,408.4,175.52,ACH,2022,12
03208,8000CUI19,03208,8000YHV25,492.59,108.75,ACH,2023,3
010,8000LVE38,010,8000OPE23,467.94,320.23,ACH,2021,2
03208,8000BNZ16,010,8000NAX26,268.38,409.34,Cheque,2021,3
03208,8000RRZ33,010,8000UBN03,415.4,128.55,Credit Card,2023,5
010,8000GEX86,03208,8000UAW92,218.41,446.12,Cash,2022,7
03208,8000CGF52,010,8000YNM58,471.5,236.85,Cheque,2022,5
010,8000RKF27,010,8000OLK51,498.87,329.91,Reinvestment,2021,9
010,8000MEG06,010,8000QZG79,393.83,243.02,Reinvestment,2023,11
010,8000ONL27,03208,8000MYV97,233.82,248.5,Reinvestment,2022,11
010,8000AAU46,010,8000MEZ54,485.2,149.36,Reinvestment,2021,10
03208,8000ZSF73,03208,8000BJI71,116.38,208.4,Wire,2023,2
010,8000KHJ37,03208,8000QFK43,264.0,294.93,Cash,2022,3
010,8000BWP26,010,8000BEO22,304.01,249.26,Cheque,2023,6
010,8000BCS83,03208,8000ZRL46,305.85,225.71,ACH,2023,2
03208,8000FZM71,010,8000BTW06,189.95,420.6,Cash,2022,10
010,8000EJB68,010,8000DSI76,260.89,103.3,Credit Card,2022,3
010,8000CSO86,03208,8000PIG82,384.46,314.18,Wire,2021,12
010,8000TAE87,010,8000SMJ48,411.03,290.18,Reinvestment,2023,8
010,8000GTJ85,03208,8000XRZ25,387.33,374.23,Cheque,2022,7
010,8000BSN43,03208,8000QTZ45,106.7,340.82,Credit Card,2022,9
010,8000NBL74,03208,8000HQI60,370.22,179.85,ACH,2021,10
010,8000NHW21,03208,8000KMR49,196.47,152.89,Credit Card,2023,7
010,8000DST79,03208,8000FLR19,358.28,113.44,Cheque,2022,9
010,8000HIK40,010,8000KEO37,252.03,186.56,Cash,2022,5
010,8000LQX54,03208,8000FNC17,329.4,221.82,Cheque,2023,2
010,8000ZTX58,010,8000MKA65,189.9,469.73,Bitcoin,2022,7
010,8000DVE76,010,8000GNZ02,370.95,253.27,Bitcoin,2022,2
03208,8000IMO95,010,8000QGS97,461.05,318.69,Reinvestment,2022,7
03208,8000SFF28,010,8000YXF47,233.84,227.27,ACH,2021,5
010,8000YAC45,010,8000EIU26,125.46,386.13,Wire,2023,8
03208,8000NRZ07,010,8000TQX30,475.77,461.19,Cash,2022,1
03208,8000TSG17,010,8000ODR14,319.62,302.14,Bitcoin,2021,8
